ID,ProductID,Title,Price,ComparePrice,Type,Status,Stock,Sku,Tax,Shipping,Weight,Length,Width,Height,Attachment
115002913,175270102,کیف زنانه چرم ترکیبی کد 1869,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,86790001000,,,,,,
115002908,175270090,کیف زنانه چرم ترکیبی کد 1958,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,87423012000,,,,,,
115002885,175270038,کیف زنانه چرم ترکیبی کد 1958,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,87420006000,,,,,,
115002864,175269978,کیف زنانه چرم ترکیبی کد 1937,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,87488581000,,,,,,
115002844,175269905,کیف زنانه چرم ترکیبی کد 1937,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,87480017000,,,,,,
115002815,175269834,کیف زنانه چرم ترکیبی کد 1924,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",0,87470001000,,,,,,
115002805,175269808,کیف زنانه چرم ترکیبی کد 1924,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,87470017000,,,,,,
115002801,175269805,کیف زنانه چرم ترکیبی کد 1924,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,0087470004000,,,,,,
115002652,175269505,کیف زنانه چرم ترکیبی کد 1965,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",2,87400001000,,,,,,
115002650,175269503,کیف زنانه چرم ترکیبی کد 1965,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,87400009000,,,,,,
115002630,175269449,کیف زنانه چرم ترکیبی کد 1965,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,87400017000,,,,,,
115002619,175269428,کیف زنانه چرم ترکیبی کد 1965,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,87403012000,,,,,,
115002569,175269342,کوله پشتی مدل SP330,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,89490013000,,,,,,
115002566,175269340,کوله پشتی مدل SP330,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,89498733000,,,,,,
115002554,175269328,کوله پشتی مدل SP330,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,89490017000,,,,,,
115002552,175269326,کوله پشتی مدل SP330,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,89498578000,,,,,,
115002534,175269323,کوله پشتی مدل SP330,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,89498798000,,,,,,
114925245,175143504,کیف زنانه چرم ترکیبی کد 1911,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,85810027000,,,,,,
114925243,175143502,کیف زنانه چرم ترکیبی کد 1911,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",4,85810001000,,,,,,
114925232,175143498,کیف زنانه چرم ترکیبی کد 1958,0,,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,87420017000,,,,,,
114925215,175143445,کیف زنانه چرم ترکیبی کد 1934,2610300,3729000,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,0087393012000,,,,,,
114925209,175143442,کیف زنانه چرم ترکیبی کد 1934,2610300,3729000,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,0087390001000,,,,,,
114924601,175142739,کیف زنانه چرم ترکیبی کد 1923,2425500,3465000,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,0086830027000,,,,,,
114924535,175142620,کیف زنانه چرم ترکیبی کد 1923,2425500,3465000,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,0086830017000,,,,,,
114924519,175142613,کیف زنانه چرم ترکیبی کد 797,2425500,3465000,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,0086680001000,,,,,,
114924468,175142589,کیف زنانه چرم ترکیبی کد 1809,2425500,3465000,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,0086780001000,,,,,,
114924405,175142498,کیف زنانه چرم ترکیبی کد 1913,2564100,3663000,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,0081400027000,,,,,,
114924395,175142486,کیف زنانه چرم ترکیبی کد 1913 رنگ: مشکی کرکو,2564100,3663000,Commodity,"Approved, Online Payment, Bank Payment, Cash On Delivery, Shipping Required",1,0081400001000,,,,,,
